instant,date,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,day_name
3899,2011-06-16,Summer,2011,Jun,8,No,Thursday,Working Day,Mist/Cloudy,0.6,0.5909,0.69,0.1343,24,364,388,Working Day,Thursday
3900,2011-06-16,Summer,2011,Jun,9,No,Thursday,Working Day,Mist/Cloudy,0.62,0.6061,0.65,0.194,29,232,261,Working Day,Thursday
3901,2011-06-16,Summer,2011,Jun,10,No,Thursday,Working Day,Mist/Cloudy,0.66,0.6212,0.61,0.2537,18,103,121,Working Day,Thursday
3902,2011-06-16,Summer,2011,Jun,11,No,Thursday,Working Day,Mist/Cloudy,0.68,0.6364,0.61,0.2985,33,117,150,Working Day,Thursday
3903,2011-06-16,Summer,2011,Jun,12,No,Thursday,Working Day,Clear/Partly Cloudy,0.72,0.6667,0.54,0.3881,41,165,206,Working Day,Thursday
3904,2011-06-16,Summer,2011,Jun,13,No,Thursday,Working Day,Mist/Cloudy,0.72,0.6667,0.54,0.2537,37,114,151,Working Day,Thursday
3905,2011-06-16,Summer,2011,Jun,14,No,Thursday,Working Day,Mist/Cloudy,0.72,0.6667,0.54,0.3284,39,114,153,Working Day,Thursday
3906,2011-06-16,Summer,2011,Jun,15,No,Thursday,Working Day,Mist/Cloudy,0.7,0.6515,0.61,0.2985,32,127,159,Working Day,Thursday
3907,2011-06-16,Summer,2011,Jun,16,No,Thursday,Working Day,Light Snow/Rain,0.66,0.6212,0.69,0.194,36,258,294,Working Day,Thursday
3908,2011-06-16,Summer,2011,Jun,17,No,Thursday,Working Day,Mist/Cloudy,0.64,0.5909,0.78,0.1045,42,230,272,Working Day,Thursday
3909,2011-06-16,Summer,2011,Jun,18,No,Thursday,Working Day,Clear/Partly Cloudy,0.64,0.5758,0.83,0.2239,26,299,325,Working Day,Thursday
3910,2011-06-16,Summer,2011,Jun,19,No,Thursday,Working Day,Clear/Partly Cloudy,0.62,0.5758,0.83,0.2836,58,269,327,Working Day,Thursday
3911,2011-06-16,Summer,2011,Jun,20,No,Thursday,Working Day,Clear/Partly Cloudy,0.62,0.5758,0.83,0.3284,25,176,201,Working Day,Thursday
3912,2011-06-16,Summer,2011,Jun,21,No,Thursday,Working Day,Light Snow/Rain,0.62,0.5758,0.83,0.2537,34,154,188,Working Day,Thursday
3913,2011-06-16,Summer,2011,Jun,22,No,Thursday,Working Day,Light Snow/Rain,0.62,0.5758,0.83,0.2537,24,127,151,Working Day,Thursday
3914,2011-06-16,Summer,2011,Jun,23,No,Thursday,Working Day,Light Snow/Rain,0.6,0.5606,0.83,0.2537,2,14,16,Working Day,Thursday
3915,2011-06-17,Summer,2011,Jun,0,No,Friday,Working Day,Clear/Partly Cloudy,0.56,0.5303,0.88,0.0896,3,21,24,Working Day,Friday
3916,2011-06-17,Summer,2011,Jun,1,No,Friday,Working Day,Clear/Partly Cloudy,0.56,0.5303,0.94,0.1343,4,19,23,Working Day,Friday
3917,2011-06-17,Summer,2011,Jun,2,No,Friday,Working Day,Clear/Partly Cloudy,0.56,0.5303,0.94,0.1045,2,11,13,Working Day,Friday
3918,2011-06-17,Summer,2011,Jun,3,No,Friday,Working Day,Clear/Partly Cloudy,0.56,0.5303,0.94,0.1045,1,5,6,Working Day,Friday
3919,2011-06-17,Summer,2011,Jun,4,No,Friday,Working Day,Clear/Partly Cloudy,0.54,0.5152,0.94,0.1343,1,5,6,Working Day,Friday
3920,2011-06-17,Summer,2011,Jun,5,No,Friday,Working Day,Clear/Partly Cloudy,0.54,0.5152,1.0,0.0,1,12,13,Working Day,Friday
3921,2011-06-17,Summer,2011,Jun,6,No,Friday,Working Day,Clear/Partly Cloudy,0.56,0.5303,0.94,0.0,8,89,97,Working Day,Friday
3922,2011-06-17,Summer,2011,Jun,7,No,Friday,Working Day,Clear/Partly Cloudy,0.6,0.5606,0.83,0.0,25,225,250,Working Day,Friday
3923,2011-06-17,Summer,2011,Jun,8,No,Friday,Working Day,Mist/Cloudy,0.6,0.5606,0.83,0.0,28,426,454,Working Day,Friday
3924,2011-06-17,Summer,2011,Jun,9,No,Friday,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.58,0.194,28,196,224,Working Day,Friday
3925,2011-06-17,Summer,2011,Jun,10,No,Friday,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.58,0.194,44,126,170,Working Day,Friday
3926,2011-06-17,Summer,2011,Jun,11,No,Friday,Working Day,Clear/Partly Cloudy,0.68,0.6364,0.69,0.2537,43,138,181,Working Day,Friday
3927,2011-06-17,Summer,2011,Jun,12,No,Friday,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.65,0.2537,49,194,243,Working Day,Friday
3928,2011-06-17,Summer,2011,Jun,13,No,Friday,Working Day,Clear/Partly Cloudy,0.74,0.6818,0.62,0.2836,48,156,204,Working Day,Friday
3929,2011-06-17,Summer,2011,Jun,14,No,Friday,Working Day,Clear/Partly Cloudy,0.76,0.697,0.52,0.194,73,142,215,Working Day,Friday
3930,2011-06-17,Summer,2011,Jun,15,No,Friday,Working Day,Clear/Partly Cloudy,0.78,0.697,0.43,0.2239,62,181,243,Working Day,Friday
3931,2011-06-17,Summer,2011,Jun,16,No,Friday,Working Day,Clear/Partly Cloudy,0.76,0.6818,0.45,0.1642,69,286,355,Working Day,Friday
3932,2011-06-17,Summer,2011,Jun,17,No,Friday,Working Day,Light Snow/Rain,0.76,0.6818,0.4,0.194,85,467,552,Working Day,Friday
3933,2011-06-17,Summer,2011,Jun,18,No,Friday,Working Day,Light Snow/Rain,0.76,0.6818,0.4,0.194,62,388,450,Working Day,Friday
3934,2011-06-17,Summer,2011,Jun,19,No,Friday,Working Day,Light Snow/Rain,0.64,0.5758,0.83,0.2537,53,275,328,Working Day,Friday
3935,2011-06-17,Summer,2011,Jun,20,No,Friday,Working Day,Clear/Partly Cloudy,0.64,0.5909,0.78,0.1045,40,192,232,Working Day,Friday
3936,2011-06-17,Summer,2011,Jun,21,No,Friday,Working Day,Clear/Partly Cloudy,0.64,0.5909,0.78,0.0896,49,159,208,Working Day,Friday
3937,2011-06-17,Summer,2011,Jun,22,No,Friday,Working Day,Clear/Partly Cloudy,0.62,0.5606,0.88,0.1343,48,127,175,Working Day,Friday
3938,2011-06-17,Summer,2011,Jun,23,No,Friday,Working Day,Clear/Partly Cloudy,0.62,0.5758,0.83,0.1343,37,141,178,Working Day,Friday
3939,2011-06-18,Summer,2011,Jun,0,No,Saturday,Holiday,Clear/Partly Cloudy,0.62,0.5606,0.88,0.1343,21,83,104,Weekend/Holiday,Saturday
3940,2011-06-18,Summer,2011,Jun,1,No,Saturday,Holiday,Clear/Partly Cloudy,0.62,0.5758,0.83,0.1045,15,80,95,Weekend/Holiday,Saturday
3941,2011-06-18,Summer,2011,Jun,2,No,Saturday,Holiday,Clear/Partly Cloudy,0.6,0.5455,0.88,0.0,16,37,53,Weekend/Holiday,Saturday
3942,2011-06-18,Summer,2011,Jun,3,No,Saturday,Holiday,Clear/Partly Cloudy,0.6,0.5455,0.88,0.0896,4,16,20,Weekend/Holiday,Saturday
3943,2011-06-18,Summer,2011,Jun,4,No,Saturday,Holiday,Clear/Partly Cloudy,0.6,0.5455,0.88,0.0896,1,4,5,Weekend/Holiday,Saturday
3944,2011-06-18,Summer,2011,Jun,5,No,Saturday,Holiday,Clear/Partly Cloudy,0.62,0.5758,0.83,0.0,1,6,7,Weekend/Holiday,Saturday
3945,2011-06-18,Summer,2011,Jun,6,No,Saturday,Holiday,Clear/Partly Cloudy,0.62,0.5758,0.83,0.1045,9,18,27,Weekend/Holiday,Saturday
3946,2011-06-18,Summer,2011,Jun,7,No,Saturday,Holiday,Clear/Partly Cloudy,0.64,0.5909,0.78,0.1343,12,45,57,Weekend/Holiday,Saturday
3947,2011-06-18,Summer,2011,Jun,8,No,Saturday,Holiday,Clear/Partly Cloudy,0.66,0.6061,0.78,0.0896,28,103,131,Weekend/Holiday,Saturday
3948,2011-06-18,Summer,2011,Jun,9,No,Saturday,Holiday,Clear/Partly Cloudy,0.7,0.6515,0.61,0.2239,62,156,218,Weekend/Holiday,Saturday
3949,2011-06-18,Summer,2011,Jun,10,No,Saturday,Holiday,Clear/Partly Cloudy,0.72,0.6818,0.62,0.194,68,176,244,Weekend/Holiday,Saturday
3950,2011-06-18,Summer,2011,Jun,11,No,Saturday,Holiday,Clear/Partly Cloudy,0.72,0.6818,0.62,0.1343,134,270,404,Weekend/Holiday,Saturday
3951,2011-06-18,Summer,2011,Jun,12,No,Saturday,Holiday,Clear/Partly Cloudy,0.74,0.697,0.66,0.0896,162,258,420,Weekend/Holiday,Saturday
3952,2011-06-18,Summer,2011,Jun,13,No,Saturday,Holiday,Clear/Partly Cloudy,0.76,0.697,0.55,0.0,135,192,327,Weekend/Holiday,Saturday
3953,2011-06-18,Summer,2011,Jun,14,No,Saturday,Holiday,Mist/Cloudy,0.8,0.7273,0.46,0.2836,138,196,334,Weekend/Holiday,Saturday
3954,2011-06-18,Summer,2011,Jun,15,No,Saturday,Holiday,Mist/Cloudy,0.82,0.7576,0.46,0.1343,153,214,367,Weekend/Holiday,Saturday
3955,2011-06-18,Summer,2011,Jun,16,No,Saturday,Holiday,Mist/Cloudy,0.76,0.697,0.52,0.2239,193,275,468,Weekend/Holiday,Saturday
3956,2011-06-18,Summer,2011,Jun,17,No,Saturday,Holiday,Mist/Cloudy,0.76,0.6818,0.48,0.1642,210,239,449,Weekend/Holiday,Saturday
3957,2011-06-18,Summer,2011,Jun,18,No,Saturday,Holiday,Mist/Cloudy,0.74,0.6818,0.55,0.194,118,263,381,Weekend/Holiday,Saturday
3958,2011-06-18,Summer,2011,Jun,19,No,Saturday,Holiday,Mist/Cloudy,0.74,0.6667,0.51,0.1045,99,227,326,Weekend/Holiday,Saturday
3959,2011-06-18,Summer,2011,Jun,20,No,Saturday,Holiday,Mist/Cloudy,0.72,0.6667,0.58,0.1343,61,127,188,Weekend/Holiday,Saturday
3960,2011-06-18,Summer,2011,Jun,21,No,Saturday,Holiday,Mist/Cloudy,0.72,0.6818,0.66,0.1045,58,125,183,Weekend/Holiday,Saturday
3961,2011-06-18,Summer,2011,Jun,22,No,Saturday,Holiday,Mist/Cloudy,0.72,0.6818,0.62,0.1343,56,105,161,Weekend/Holiday,Saturday
3962,2011-06-18,Summer,2011,Jun,23,No,Saturday,Holiday,Mist/Cloudy,0.72,0.6818,0.62,0.0,53,97,150,Weekend/Holiday,Saturday
3963,2011-06-19,Summer,2011,Jun,0,No,Sunday,Holiday,Clear/Partly Cloudy,0.7,0.6515,0.65,0.0,18,71,89,Weekend/Holiday,Sunday
3964,2011-06-19,Summer,2011,Jun,1,No,Sunday,Holiday,Mist/Cloudy,0.7,0.6515,0.65,0.0896,17,59,76,Weekend/Holiday,Sunday
3965,2011-06-19,Summer,2011,Jun,2,No,Sunday,Holiday,Clear/Partly Cloudy,0.68,0.6364,0.74,0.0896,13,59,72,Weekend/Holiday,Sunday
3966,2011-06-19,Summer,2011,Jun,3,No,Sunday,Holiday,Mist/Cloudy,0.66,0.6061,0.78,0.1343,14,16,30,Weekend/Holiday,Sunday
3967,2011-06-19,Summer,2011,Jun,4,No,Sunday,Holiday,Mist/Cloudy,0.66,0.6212,0.74,0.1343,7,10,17,Weekend/Holiday,Sunday
3968,2011-06-19,Summer,2011,Jun,5,No,Sunday,Holiday,Mist/Cloudy,0.66,0.6061,0.78,0.0,7,12,19,Weekend/Holiday,Sunday
3969,2011-06-19,Summer,2011,Jun,6,No,Sunday,Holiday,Mist/Cloudy,0.66,0.6061,0.78,0.1642,11,22,33,Weekend/Holiday,Sunday
3970,2011-06-19,Summer,2011,Jun,7,No,Sunday,Holiday,Mist/Cloudy,0.66,0.6061,0.78,0.1642,35,36,71,Weekend/Holiday,Sunday
3971,2011-06-19,Summer,2011,Jun,8,No,Sunday,Holiday,Light Snow/Rain,0.68,0.6364,0.74,0.1045,25,59,84,Weekend/Holiday,Sunday
3972,2011-06-19,Summer,2011,Jun,9,No,Sunday,Holiday,Mist/Cloudy,0.68,0.6364,0.74,0.1045,58,111,169,Weekend/Holiday,Sunday
3973,2011-06-19,Summer,2011,Jun,10,No,Sunday,Holiday,Mist/Cloudy,0.7,0.6515,0.61,0.1045,86,158,244,Weekend/Holiday,Sunday
3974,2011-06-19,Summer,2011,Jun,11,No,Sunday,Holiday,Mist/Cloudy,0.72,0.6667,0.58,0.0896,141,236,377,Weekend/Holiday,Sunday
3975,2011-06-19,Summer,2011,Jun,12,No,Sunday,Holiday,Mist/Cloudy,0.74,0.6818,0.55,0.0896,141,255,396,Weekend/Holiday,Sunday
3976,2011-06-19,Summer,2011,Jun,13,No,Sunday,Holiday,Mist/Cloudy,0.74,0.6667,0.51,0.0,149,214,363,Weekend/Holiday,Sunday
3977,2011-06-19,Summer,2011,Jun,14,No,Sunday,Holiday,Light Snow/Rain,0.74,0.6818,0.58,0.1045,124,193,317,Weekend/Holiday,Sunday
3978,2011-06-19,Summer,2011,Jun,15,No,Sunday,Holiday,Mist/Cloudy,0.74,0.6818,0.55,0.1045,146,216,362,Weekend/Holiday,Sunday
3979,2011-06-19,Summer,2011,Jun,16,No,Sunday,Holiday,Mist/Cloudy,0.76,0.6818,0.48,0.0,121,257,378,Weekend/Holiday,Sunday
3980,2011-06-19,Summer,2011,Jun,17,No,Sunday,Holiday,Clear/Partly Cloudy,0.74,0.6667,0.51,0.0,159,238,397,Weekend/Holiday,Sunday
3981,2011-06-19,Summer,2011,Jun,18,No,Sunday,Holiday,Mist/Cloudy,0.74,0.6818,0.58,0.0896,78,218,296,Weekend/Holiday,Sunday
3982,2011-06-19,Summer,2011,Jun,19,No,Sunday,Holiday,Clear/Partly Cloudy,0.72,0.6818,0.62,0.1343,94,217,311,Weekend/Holiday,Sunday
3983,2011-06-19,Summer,2011,Jun,20,No,Sunday,Holiday,Clear/Partly Cloudy,0.7,0.6515,0.7,0.194,86,146,232,Weekend/Holiday,Sunday
3984,2011-06-19,Summer,2011,Jun,21,No,Sunday,Holiday,Clear/Partly Cloudy,0.68,0.6364,0.79,0.1343,57,110,167,Weekend/Holiday,Sunday
3985,2011-06-19,Summer,2011,Jun,22,No,Sunday,Holiday,Clear/Partly Cloudy,0.66,0.6061,0.78,0.2239,38,114,152,Weekend/Holiday,Sunday
3986,2011-06-19,Summer,2011,Jun,23,No,Sunday,Holiday,Clear/Partly Cloudy,0.66,0.6061,0.78,0.194,14,78,92,Weekend/Holiday,Sunday
3987,2011-06-20,Summer,2011,Jun,0,No,Monday,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.1642,7,19,26,Working Day,Monday
3988,2011-06-20,Summer,2011,Jun,1,No,Monday,Working Day,Clear/Partly Cloudy,0.64,0.5758,0.89,0.0896,9,3,12,Working Day,Monday
3989,2011-06-20,Summer,2011,Jun,2,No,Monday,Working Day,Clear/Partly Cloudy,0.64,0.5758,0.89,0.0896,2,0,2,Working Day,Monday
3990,2011-06-20,Summer,2011,Jun,3,No,Monday,Working Day,Light Snow/Rain,0.64,0.5758,0.89,0.0,1,0,1,Working Day,Monday
3991,2011-06-20,Summer,2011,Jun,4,No,Monday,Working Day,Light Snow/Rain,0.62,0.5606,0.88,0.1642,1,2,3,Working Day,Monday
3992,2011-06-20,Summer,2011,Jun,5,No,Monday,Working Day,Light Snow/Rain,0.62,0.5758,0.83,0.1343,0,3,3,Working Day,Monday
3993,2011-06-20,Summer,2011,Jun,6,No,Monday,Working Day,Light Snow/Rain,0.6,0.5758,0.78,0.1343,1,25,26,Working Day,Monday
3994,2011-06-20,Summer,2011,Jun,7,No,Monday,Working Day,Light Snow/Rain,0.56,0.5303,0.88,0.194,0,46,46,Working Day,Monday
3995,2011-06-20,Summer,2011,Jun,8,No,Monday,Working Day,Light Snow/Rain,0.56,0.5303,0.83,0.194,12,209,221,Working Day,Monday
3996,2011-06-20,Summer,2011,Jun,9,No,Monday,Working Day,Mist/Cloudy,0.6,0.5758,0.78,0.2537,19,200,219,Working Day,Monday
3997,2011-06-20,Summer,2011,Jun,10,No,Monday,Working Day,Mist/Cloudy,0.6,0.5758,0.78,0.2537,33,58,91,Working Day,Monday
3998,2011-06-20,Summer,2011,Jun,11,No,Monday,Working Day,Mist/Cloudy,0.6,0.5758,0.78,0.1045,27,67,94,Working Day,Monday
3999,2011-06-20,Summer,2011,Jun,12,No,Monday,Working Day,Mist/Cloudy,0.62,0.6061,0.69,0.1045,33,129,162,Working Day,Monday
4000,2011-06-20,Summer,2011,Jun,13,No,Monday,Working Day,Clear/Partly Cloudy,0.64,0.6061,0.65,0.1045,50,129,179,Working Day,Monday
4001,2011-06-20,Summer,2011,Jun,14,No,Monday,Working Day,Clear/Partly Cloudy,0.66,0.6212,0.61,0.1045,45,130,175,Working Day,Monday
4002,2011-06-20,Summer,2011,Jun,15,No,Monday,Working Day,Clear/Partly Cloudy,0.66,0.6212,0.61,0.1343,66,139,205,Working Day,Monday
4003,2011-06-20,Summer,2011,Jun,16,No,Monday,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.58,0.1642,61,238,299,Working Day,Monday
4004,2011-06-20,Summer,2011,Jun,17,No,Monday,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.54,0.0,81,484,565,Working Day,Monday
4005,2011-06-20,Summer,2011,Jun,18,No,Monday,Working Day,Clear/Partly Cloudy,0.7,0.6515,0.61,0.2537,64,474,538,Working Day,Monday
4006,2011-06-20,Summer,2011,Jun,19,No,Monday,Working Day,Clear/Partly Cloudy,0.66,0.6212,0.65,0.2239,62,369,431,Working Day,Monday
4007,2011-06-20,Summer,2011,Jun,20,No,Monday,Working Day,Clear/Partly Cloudy,0.66,0.6212,0.69,0.2239,52,264,316,Working Day,Monday
4008,2011-06-20,Summer,2011,Jun,21,No,Monday,Working Day,Clear/Partly Cloudy,0.64,0.6061,0.73,0.1642,39,167,206,Working Day,Monday
4009,2011-06-20,Summer,2011,Jun,22,No,Monday,Working Day,Mist/Cloudy,0.64,0.6061,0.73,0.2239,24,106,130,Working Day,Monday
4010,2011-06-20,Summer,2011,Jun,23,No,Monday,Working Day,Clear/Partly Cloudy,0.62,0.5909,0.78,0.2537,10,50,60,Working Day,Monday
4011,2011-06-21,Fall,2011,Jun,0,No,Tuesday,Working Day,Clear/Partly Cloudy,0.62,0.5909,0.78,0.1642,10,23,33,Working Day,Tuesday
4012,2011-06-21,Fall,2011,Jun,1,No,Tuesday,Working Day,Light Snow/Rain,0.62,0.5909,0.78,0.1642,2,12,14,Working Day,Tuesday
4013,2011-06-21,Fall,2011,Jun,2,No,Tuesday,Working Day,Light Snow/Rain,0.62,0.5758,0.83,0.1642,1,5,6,Working Day,Tuesday
4014,2011-06-21,Fall,2011,Jun,3,No,Tuesday,Working Day,Light Snow/Rain,0.62,0.5758,0.83,0.1642,0,2,2,Working Day,Tuesday
4015,2011-06-21,Fall,2011,Jun,4,No,Tuesday,Working Day,Mist/Cloudy,0.6,0.5455,0.88,0.1045,2,7,9,Working Day,Tuesday
4016,2011-06-21,Fall,2011,Jun,5,No,Tuesday,Working Day,Mist/Cloudy,0.6,0.5455,0.88,0.1343,3,22,25,Working Day,Tuesday
4017,2011-06-21,Fall,2011,Jun,6,No,Tuesday,Working Day,Mist/Cloudy,0.6,0.5455,0.88,0.1343,8,107,115,Working Day,Tuesday
4018,2011-06-21,Fall,2011,Jun,7,No,Tuesday,Working Day,Mist/Cloudy,0.6,0.5152,0.94,0.0,21,288,309,Working Day,Tuesday
4019,2011-06-21,Fall,2011,Jun,8,No,Tuesday,Working Day,Mist/Cloudy,0.62,0.5606,0.88,0.1045,33,368,401,Working Day,Tuesday
4020,2011-06-21,Fall,2011,Jun,9,No,Tuesday,Working Day,Mist/Cloudy,0.62,0.5606,0.88,0.2537,32,243,275,Working Day,Tuesday
4021,2011-06-21,Fall,2011,Jun,10,No,Tuesday,Working Day,Mist/Cloudy,0.64,0.5758,0.83,0.194,41,120,161,Working Day,Tuesday
4022,2011-06-21,Fall,2011,Jun,11,No,Tuesday,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.1642,52,119,171,Working Day,Tuesday
4023,2011-06-21,Fall,2011,Jun,12,No,Tuesday,Working Day,Clear/Partly Cloudy,0.7,0.6667,0.74,0.1642,40,149,189,Working Day,Tuesday
4024,2011-06-21,Fall,2011,Jun,13,No,Tuesday,Working Day,Clear/Partly Cloudy,0.74,0.697,0.66,0.1642,49,158,207,Working Day,Tuesday
4025,2011-06-21,Fall,2011,Jun,14,No,Tuesday,Working Day,Clear/Partly Cloudy,0.76,0.7121,0.62,0.2239,44,108,152,Working Day,Tuesday
4026,2011-06-21,Fall,2011,Jun,15,No,Tuesday,Working Day,Clear/Partly Cloudy,0.78,0.7424,0.59,0.2537,42,128,170,Working Day,Tuesday
4027,2011-06-21,Fall,2011,Jun,16,No,Tuesday,Working Day,Clear/Partly Cloudy,0.8,0.7727,0.59,0.2239,62,273,335,Working Day,Tuesday
4028,2011-06-21,Fall,2011,Jun,17,No,Tuesday,Working Day,Clear/Partly Cloudy,0.78,0.7576,0.66,0.2239,65,507,572,Working Day,Tuesday
4029,2011-06-21,Fall,2011,Jun,18,No,Tuesday,Working Day,Mist/Cloudy,0.76,0.7273,0.7,0.2537,67,469,536,Working Day,Tuesday
4030,2011-06-21,Fall,2011,Jun,19,No,Tuesday,Working Day,Mist/Cloudy,0.74,0.7121,0.74,0.2239,67,358,425,Working Day,Tuesday
4031,2011-06-21,Fall,2011,Jun,20,No,Tuesday,Working Day,Light Snow/Rain,0.74,0.697,0.7,0.2239,72,254,326,Working Day,Tuesday
4032,2011-06-21,Fall,2011,Jun,21,No,Tuesday,Working Day,Clear/Partly Cloudy,0.72,0.697,0.74,0.194,38,191,229,Working Day,Tuesday
4033,2011-06-21,Fall,2011,Jun,22,No,Tuesday,Working Day,Clear/Partly Cloudy,0.7,0.6667,0.79,0.1045,12,97,109,Working Day,Tuesday
4034,2011-06-21,Fall,2011,Jun,23,No,Tuesday,Working Day,Clear/Partly Cloudy,0.7,0.6667,0.74,0.1045,11,53,64,Working Day,Tuesday
4035,2011-06-22,Fall,2011,Jun,0,No,Wednesday,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.78,0.194,15,18,33,Working Day,Wednesday
4036,2011-06-22,Fall,2011,Jun,1,No,Wednesday,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.78,0.1343,2,19,21,Working Day,Wednesday
4037,2011-06-22,Fall,2011,Jun,2,No,Wednesday,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.78,0.0,2,5,7,Working Day,Wednesday
4038,2011-06-22,Fall,2011,Jun,3,No,Wednesday,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.78,0.1343,0,7,7,Working Day,Wednesday
4039,2011-06-22,Fall,2011,Jun,4,No,Wednesday,Working Day,Clear/Partly Cloudy,0.64,0.5758,0.83,0.0,3,8,11,Working Day,Wednesday
4040,2011-06-22,Fall,2011,Jun,5,No,Wednesday,Working Day,Clear/Partly Cloudy,0.64,0.5758,0.89,0.0,2,21,23,Working Day,Wednesday
4041,2011-06-22,Fall,2011,Jun,6,No,Wednesday,Working Day,Clear/Partly Cloudy,0.66,0.6061,0.83,0.0,12,110,122,Working Day,Wednesday
4042,2011-06-22,Fall,2011,Jun,7,No,Wednesday,Working Day,Clear/Partly Cloudy,0.7,0.6667,0.79,0.0,23,288,311,Working Day,Wednesday
4043,2011-06-22,Fall,2011,Jun,8,No,Wednesday,Working Day,Clear/Partly Cloudy,0.72,0.697,0.74,0.1045,27,396,423,Working Day,Wednesday
4044,2011-06-22,Fall,2011,Jun,9,No,Wednesday,Working Day,Clear/Partly Cloudy,0.72,0.697,0.79,0.1642,14,205,219,Working Day,Wednesday
4045,2011-06-22,Fall,2011,Jun,10,No,Wednesday,Working Day,Clear/Partly Cloudy,0.74,0.697,0.7,0.2537,31,104,135,Working Day,Wednesday
4046,2011-06-22,Fall,2011,Jun,11,No,Wednesday,Working Day,Clear/Partly Cloudy,0.74,0.697,0.7,0.1642,37,108,145,Working Day,Wednesday
4047,2011-06-22,Fall,2011,Jun,12,No,Wednesday,Working Day,Mist/Cloudy,0.8,0.7727,0.59,0.2239,44,144,188,Working Day,Wednesday
4048,2011-06-22,Fall,2011,Jun,13,No,Wednesday,Working Day,Mist/Cloudy,0.82,0.7879,0.56,0.2537,34,113,147,Working Day,Wednesday
4049,2011-06-22,Fall,2011,Jun,14,No,Wednesday,Working Day,Mist/Cloudy,0.82,0.7727,0.52,0.2836,32,113,145,Working Day,Wednesday
4050,2011-06-22,Fall,2011,Jun,15,No,Wednesday,Working Day,Mist/Cloudy,0.82,0.7879,0.56,0.2836,32,114,146,Working Day,Wednesday
4051,2011-06-22,Fall,2011,Jun,16,No,Wednesday,Working Day,Mist/Cloudy,0.82,0.803,0.59,0.3284,34,224,258,Working Day,Wednesday
4052,2011-06-22,Fall,2011,Jun,17,No,Wednesday,Working Day,Mist/Cloudy,0.8,0.7576,0.55,0.3881,67,462,529,Working Day,Wednesday
4053,2011-06-22,Fall,2011,Jun,18,No,Wednesday,Working Day,Mist/Cloudy,0.8,0.7727,0.59,0.2537,66,447,513,Working Day,Wednesday
4054,2011-06-22,Fall,2011,Jun,19,No,Wednesday,Working Day,Mist/Cloudy,0.8,0.7424,0.52,0.2537,62,280,342,Working Day,Wednesday
4055,2011-06-22,Fall,2011,Jun,20,No,Wednesday,Working Day,Clear/Partly Cloudy,0.74,0.7121,0.74,0.1343,52,230,282,Working Day,Wednesday
4056,2011-06-22,Fall,2011,Jun,21,No,Wednesday,Working Day,Clear/Partly Cloudy,0.74,0.7121,0.79,0.1642,31,216,247,Working Day,Wednesday
4057,2011-06-22,Fall,2011,Jun,22,No,Wednesday,Working Day,Mist/Cloudy,0.72,0.697,0.79,0.194,25,123,148,Working Day,Wednesday
4058,2011-06-22,Fall,2011,Jun,23,No,Wednesday,Working Day,Mist/Cloudy,0.72,0.697,0.79,0.2239,14,91,105,Working Day,Wednesday
4059,2011-06-23,Fall,2011,Jun,0,No,Thursday,Working Day,Clear/Partly Cloudy,0.72,0.697,0.79,0.2239,5,44,49,Working Day,Thursday
4060,2011-06-23,Fall,2011,Jun,1,No,Thursday,Working Day,Clear/Partly Cloudy,0.72,0.697,0.74,0.2239,5,26,31,Working Day,Thursday
4061,2011-06-23,Fall,2011,Jun,2,No,Thursday,Working Day,Clear/Partly Cloudy,0.72,0.697,0.74,0.2239,0,4,4,Working Day,Thursday
4062,2011-06-23,Fall,2011,Jun,3,No,Thursday,Working Day,Mist/Cloudy,0.72,0.697,0.74,0.1642,1,4,5,Working Day,Thursday
4063,2011-06-23,Fall,2011,Jun,4,No,Thursday,Working Day,Mist/Cloudy,0.7,0.6667,0.79,0.1343,0,7,7,Working Day,Thursday
4064,2011-06-23,Fall,2011,Jun,5,No,Thursday,Working Day,Clear/Partly Cloudy,0.72,0.697,0.74,0.1642,2,22,24,Working Day,Thursday
4065,2011-06-23,Fall,2011,Jun,6,No,Thursday,Working Day,Clear/Partly Cloudy,0.72,0.697,0.74,0.1642,8,92,100,Working Day,Thursday
4066,2011-06-23,Fall,2011,Jun,7,No,Thursday,Working Day,Mist/Cloudy,0.72,0.697,0.74,0.1343,26,301,327,Working Day,Thursday
4067,2011-06-23,Fall,2011,Jun,8,No,Thursday,Working Day,Mist/Cloudy,0.74,0.697,0.7,0.194,20,412,432,Working Day,Thursday
4068,2011-06-23,Fall,2011,Jun,9,No,Thursday,Working Day,Mist/Cloudy,0.74,0.697,0.7,0.1343,33,194,227,Working Day,Thursday
